"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0039788",25.8008829331562,1.81788480173648,0.46510459263921,3.90855052929276,9.28515287734644e-05,0.00136526136752094
"FBgn0024288",86.6226993987767,-4.60667692849087,0.393407891005361,-11.709670888193,1.13720176334697e-31,3.05833906484636e-29
"FBgn0039827",390.945915049235,-4.10320518228469,0.193883570031437,-21.1632433919975,2.08383749959559e-99,2.48185046201834e-96
"FBgn0027111",34.6821204109439,-1.09810622914068,0.39975888415379,-2.74692138853937,0.00601575515823219,0.0452239411669809
"FBgn0029002",2268.58858386979,1.43138206917369,0.372556491235224,3.84205376325049,0.000122009101429305,0.00172697772260801
"FBgn0052845",18.8522918867833,1.35974494987589,0.493266949121986,2.75661069993891,0.00584038396803876,0.0442245968588003
"FBgn0016715",202.35399043836,-2.26473353885325,0.19746692427888,-11.4689259840539,1.88990283444701e-30,4.25841079210397e-28
"FBgn0265706",41.6628103063734,-1.39826690663367,0.415350630915489,-3.36647353478602,0.00076135887457621,0.00830817923735845
"FBgn0263042",63.3371176885087,-1.43325516438136,0.308125095188829,-4.65153662184838,3.29470749053157e-06,7.2474871632089e-05
"FBgn0035147",28919.5642815037,-1.18427889992608,0.110218568102547,-10.744822041457,6.26826860958792e-27,1.21531524181708e-24
"FBgn0264475",955.60147347676,-2.52296718220593,0.133304365393812,-18.9263658001933,6.91730650778876e-80,7.20869804442936e-77
"FBgn0054057",47.9304499984408,-1.00542410450452,0.360166459143935,-2.79155395784013,0.00524556108592614,0.0405887300948381
"FBgn0063667",19.172552021535,2.75881030809888,0.555633077960459,4.96516571372161,6.86424326120256e-07,1.71853441647585e-05
"FBgn0035189",307.431129260941,2.89599157133743,0.207575964179499,13.9514783553319,3.0815104841385e-44,1.71270352708418e-41
"FBgn0020248",52.5450408728001,1.98913218258731,0.312305187170695,6.36919354624783,1.90024691742836e-10,7.80411751261095e-09
"FBgn0052313",21.1729497836464,-1.59630834958758,0.520216913914815,-3.06854373029666,0.00215104843623899,0.0199480431734421
"FBgn0035267",54.2008548136702,1.06172281883197,0.319144524750055,3.3267774832217,0.000878564990227576,0.00933069595353796
"FBgn0035344",114.306251958061,-1.64926730463466,0.224060501856027,-7.36081232958418,1.82794405362024e-13,1.24914504713377e-11
"FBgn0259224",447.62243593327,1.10460113301395,0.184126730147085,5.99913511814155,1.98371244700673e-09,7.06761139773295e-08
"FBgn0035523",71.1927514572139,1.59673808980936,0.346818936415927,4.60395302030006,4.14546016216416e-06,8.97680555115911e-05
"FBgn0035539",31.141497179206,1.90725437414284,0.476600648803699,4.00178719632503,6.28658279298314e-05,0.000963441925461406
"FBgn0262733",552.44815469227,2.08084724044707,0.161423616024506,12.8905998495981,5.08467711244731e-38,1.9268615039306e-35
"FBgn0262870",44.4775644740323,-1.5854497330129,0.355952931693273,-4.45409938182247,8.42460735260987e-06,0.000170628892898799
