195484
1058	1303	867
1357	1570	1113
1730	2608	1327
0	241	0
295	508	242
668	1546	456
0	263	0
319	532	264
594	1495	478
0	263	0
319	532	264
594	1585	478
1647	2014	1470
0	263	0
319	532	264
585	2014	478
0	904	0
0	1679	0
3124	3223	1680
3280	3479	1780
3534	3705	1980
3764	3806	2152
3861	3942	2195
4107	4594	2277
4648	4995	2765
6884	9069	3113
0	1679	0
3118	3223	1680
3280	3479	1786
3534	3705	1986
3764	3806	2158
3861	3942	2201
4107	4594	2283
4648	4995	2771
6884	9069	3119
0	1520	0
1589	1766	1521
0	89	0
161	695	90
769	941	625
0	695	0
769	941	696
0	75	0
